sentence,label
Give me the details.,non-polite
Complete this task now.,non-polite
You have to finish this.,non-polite
Update me immediately.,non-polite
Could you send the file?,polite
Kindly look into this issue.,polite
Please call me when free.,polite
Can you please help me?,polite
Could you send the file?,polite
Can you please help me?,polite
Finish this before evening.,non-polite
Would you mind helping me?,polite
Kindly complete this task.,polite
Do this now.,non-polite
Send me the file immediately.,non-polite
You have to finish this.,non-polite
Can you please help me?,polite
Fix this issue immediately.,non-polite
Do this now.,non-polite
Submit the report today.,non-polite
Please update me on this.,polite
Do the work fast.,non-polite
Can you assist me with this?,polite
Finish this before evening.,non-polite
Do the work fast.,non-polite
Could you explain this again?,polite
Fix this issue immediately.,non-polite
Give me the details.,non-polite
Check this again.,non-polite
Send the documents now.,non-polite
Do the work fast.,non-polite
Finish this quickly.,non-polite
Kindly complete this task.,polite
Can you please help me?,polite
Do the work fast.,non-polite
Kindly look into this issue.,polite
Please update me on this.,polite
Could you explain this again?,polite
Please complete the work today.,polite
Fix this issue immediately.,non-polite
Please share the report.,polite
Send me the file immediately.,non-polite
Can you check this once?,polite
Do not delay this task.,non-polite
Kindly look into this issue.,polite
Send me the file immediately.,non-polite
Please share the report.,polite
Update me immediately.,non-polite
Can you guide me on this?,polite
Can you assist me with this?,polite
Please share the report.,polite
Complete this task now.,non-polite
Do the work fast.,non-polite
Please give me the details.,polite
Fix this issue immediately.,non-polite
Can you assist me with this?,polite
Please complete the work today.,polite
Complete this task now.,non-polite
Please give me the details.,polite
Please give me the details.,polite
Can you guide me on this?,polite
Can you please confirm this?,polite
Can you assist me with this?,polite
Do the work fast.,non-polite
I want this done today.,non-polite
Can you please confirm this?,polite
Would you please help me?,polite
Please provide the information.,polite
Can you please confirm this?,polite
Please call me when free.,polite
Please complete the work today.,polite
Finish this quickly.,non-polite
Finish this quickly.,non-polite
Give me the details.,non-polite
Give me the details.,non-polite
Kindly send the documents.,polite
You must complete this.,non-polite
Please update me on this.,polite
Do not delay this task.,non-polite
Finish this before evening.,non-polite
You need to do this.,non-polite
Could you explain this again?,polite
You have to finish this.,non-polite
Could you please wait a moment?,polite
Finish this before evening.,non-polite
Do this now.,non-polite
Could you send the file?,polite
Submit the report today.,non-polite
Submit the report today.,non-polite
Finish this before evening.,non-polite
Do this now.,non-polite
Complete this task now.,non-polite
Could you send the file?,polite
Kindly send the documents.,polite
You must complete this.,non-polite
You need to do this.,non-polite
Could you explain this again?,polite
Can you assist me with this?,polite
I need this right now.,non-polite
I need this right now.,non-polite
Kindly send the documents.,polite
Kindly look into this issue.,polite
Could you please wait a moment?,polite
You have to finish this.,non-polite
Finish this quickly.,non-polite
Please update me on this.,polite
Please complete the work today.,polite
Do the work fast.,non-polite
Please review the document.,polite
Can you please help me?,polite
Give me the details.,non-polite
Complete it quickly.,non-polite
Kindly complete this task.,polite
Could you please wait a moment?,polite
Please review the document.,polite
Please give me the details.,polite
Can you check this once?,polite
Fix this issue immediately.,non-polite
I want this done today.,non-polite
Please share the report.,polite
I need this right now.,non-polite
Can you guide me on this?,polite
Complete it quickly.,non-polite
Complete it quickly.,non-polite
Would you please help me?,polite
Finish this before evening.,non-polite
Finish this before evening.,non-polite
Kindly look into this issue.,polite
Do not delay this task.,non-polite
Do not delay this task.,non-polite
You must complete this.,non-polite
Complete it quickly.,non-polite
Please share the report.,polite
Can you assist me with this?,polite
Kindly look into this issue.,polite
Send the documents now.,non-polite
I need this right now.,non-polite
Can you assist me with this?,polite
Fix this issue immediately.,non-polite
Submit the report today.,non-polite
Finish this quickly.,non-polite
Update me immediately.,non-polite
Update me immediately.,non-polite
Can you please confirm this?,polite
Kindly complete this task.,polite
Call me right now.,non-polite
Please complete the work today.,polite
Finish this before evening.,non-polite
Please give me the details.,polite
Could you explain this again?,polite
Check this again.,non-polite
Give me the details.,non-polite
Send the documents now.,non-polite
Do the work fast.,non-polite
You must complete this.,non-polite
Could you send the file?,polite
Complete it quickly.,non-polite
Please give me the details.,polite
Can you please confirm this?,polite
I need this right now.,non-polite
Can you guide me on this?,polite
Kindly complete this task.,polite
Send me the file immediately.,non-polite
Can you assist me with this?,polite
Check this again.,non-polite
Please give me the details.,polite
Complete this task now.,non-polite
Finish this before evening.,non-polite
Do the work fast.,non-polite
Can you assist me with this?,polite
Send me the file immediately.,non-polite
Complete it quickly.,non-polite
Kindly look into this issue.,polite
I need this right now.,non-polite
I need this right now.,non-polite
Please call me when free.,polite
Can you please help me?,polite
Call me right now.,non-polite
Call me right now.,non-polite
Complete this task now.,non-polite
Can you please confirm this?,polite
Please share the report.,polite
Fix this issue immediately.,non-polite
Complete this task now.,non-polite
Can you guide me on this?,polite
Please update me on this.,polite
Please update me on this.,polite
I need this right now.,non-polite
You need to do this.,non-polite
Could you explain this again?,polite
Send me the file immediately.,non-polite
I need this right now.,non-polite
Kindly complete this task.,polite
You need to do this.,non-polite
Would you mind helping me?,polite
You must complete this.,non-polite
Finish this before evening.,non-polite
Do this now.,non-polite
I want this done today.,non-polite
Complete this task now.,non-polite
Please complete the work today.,polite
Do the work fast.,non-polite
Please complete the work today.,polite
Would you please help me?,polite
Can you please help me?,polite
Finish this before evening.,non-polite
Can you check this once?,polite
Do this now.,non-polite
I need this right now.,non-polite
Submit the report today.,non-polite
Can you guide me on this?,polite
Please call me when free.,polite
Could you explain this again?,polite
Can you check this once?,polite
Please review the document.,polite
Please provide the information.,polite
Do not delay this task.,non-polite
Could you send the file?,polite
Can you please help me?,polite
Complete this task now.,non-polite
Can you check this once?,polite
Could you send the file?,polite
Could you explain this again?,polite
Can you please confirm this?,polite
Would you please help me?,polite
Could you send the file?,polite
Submit the report today.,non-polite
Send the documents now.,non-polite
Do the work fast.,non-polite
Please provide the information.,polite
I want this done today.,non-polite
Can you please confirm this?,polite
Please review the document.,polite
Please give me the details.,polite
Could you explain this again?,polite
Send the documents now.,non-polite
Do the work fast.,non-polite
Can you guide me on this?,polite
Send the documents now.,non-polite
Complete it quickly.,non-polite
Complete it quickly.,non-polite
Do not delay this task.,non-polite
Send the documents now.,non-polite
Do this now.,non-polite
Could you send the file?,polite
Complete this task now.,non-polite
You need to do this.,non-polite
I need this right now.,non-polite
Could you explain this again?,polite
Please review the document.,polite
Would you please help me?,polite
Do not delay this task.,non-polite
Kindly send the documents.,polite
Can you check this once?,polite
Do the work fast.,non-polite
Please complete the work today.,polite
Can you please help me?,polite
I need this right now.,non-polite
Finish this before evening.,non-polite
Please call me when free.,polite
Can you please help me?,polite
Please give me the details.,polite
Please provide the information.,polite
Could you explain this again?,polite
Could you explain this again?,polite
Please call me when free.,polite
I need this right now.,non-polite
Finish this quickly.,non-polite
Finish this before evening.,non-polite
Do the work fast.,non-polite
Fix this issue immediately.,non-polite
Please update me on this.,polite
I need this right now.,non-polite
Could you explain this again?,polite
Complete this task now.,non-polite
Could you please wait a moment?,polite
Finish this before evening.,non-polite
You need to do this.,non-polite
Can you assist me with this?,polite
Would you mind helping me?,polite
Can you please confirm this?,polite
Submit the report today.,non-polite
Can you please help me?,polite
I want this done today.,non-polite
Could you send the file?,polite
Send me the file immediately.,non-polite
Could you please wait a moment?,polite
Please update me on this.,polite
Complete this task now.,non-polite
Can you guide me on this?,polite
Would you mind helping me?,polite
Kindly complete this task.,polite
Please update me on this.,polite
You have to finish this.,non-polite
Do the work fast.,non-polite
Finish this before evening.,non-polite
Submit the report today.,non-polite
Would you please help me?,polite
Call me right now.,non-polite
Would you please help me?,polite
Fix this issue immediately.,non-polite
Please share the report.,polite
Can you check this once?,polite
Kindly look into this issue.,polite
Could you send the file?,polite
Can you check this once?,polite
Fix this issue immediately.,non-polite
Can you please help me?,polite
Do not delay this task.,non-polite
Can you guide me on this?,polite
Kindly look into this issue.,polite
I want this done today.,non-polite
Kindly look into this issue.,polite
Please provide the information.,polite
Please review the document.,polite
I need this right now.,non-polite
Give me the details.,non-polite
Send the documents now.,non-polite
Update me immediately.,non-polite
Can you please help me?,polite
I want this done today.,non-polite
Fix this issue immediately.,non-polite
Complete it quickly.,non-polite
Call me right now.,non-polite
Kindly look into this issue.,polite
Do the work fast.,non-polite
Can you check this once?,polite
